staged_path,original_path,sha256,purpose
.gitignore,public-release-metadata/.gitignore,f1dd18cfac84e824dcdc811b2ef0a1c77e3a183d85b05328cc4e795449294c30,"Exclude generated renders, Python caches, virtual environments and platform metadata from the public repository."
.zenodo.json,public-release-metadata/.zenodo.json,0aaa78f2535a80627ea7f94562aca2a539d20bd3d6c83a842e65a00aa12cc311,Zenodo deposit metadata for version 1.0.0.
CITATION.cff,public-release-metadata/CITATION.cff,0331acbce0383dd931699f933cd0377cd8efee8047c663804609a8a8d87418d5,Machine-readable release citation metadata for version 1.0.0.
LICENSE-CODE,public-release-metadata/LICENSE-CODE,7c7cf20b3dfedd283a6cb04a4ed0f6fb3036c38f997b3e689b4b53bbdfcaf179,MIT license for released code and environment definition.
LICENSE-DATA,public-release-metadata/LICENSE-DATA,d29bef5a685d12ce9e9bf258dff078b75ed90f0a734cf8649558d265f33a55c8,"CC BY 4.0 notice for processed data, README and metadata."
README.md,public-release-metadata/README.md,ae1dd07ddbf601d2e039f5e042e96fa955d4efb1c87666f35e4ee57386eb24f2,"Public scope, supported results, commands, limitations, authors, citation and mixed-license notice."
code/render_extended_data_figure1.py,validated-release-payload/code/render_extended_data_figure1.py,71501336c396cea60f364093713611a47fcef81c6ce76e7f5a8d8179146df8f3,"Aggregate n/median/IQR and render interpeak interval summary from the frozen interval table; released copy adds a public header, CLI, threshold checks and portable paths."
code/render_extended_data_figure2.py,validated-release-payload/code/render_extended_data_figure2.py,c93076ca18a622dd5b229d2834c4f4e8a33308805cdd8e0831d14b37d87637f1,"Render pLDDT/helicity summary and recompute only the displayed BH adjustment across 36 frozen contrast P values; released copy adds a public header, CLI, checks and portable paths."
code/render_figure1_multisubunit.py,validated-release-payload/code/render_figure1_multisubunit.py,d22d6a64867432c5b90ae01547f3dc77c51369c267ac5ce81bf1f759584c3f26,"Validate and render the final multisubunit model and recurrent-AD summary counts; released copy retains only the canonical frozen-counts renderer and removes unrelated historical, coordinate and unstaged-input modes."
code/render_figure2_panels_CD.py,validated-release-payload/code/render_figure2_panels_CD.py,0cdf103c5d576f732ec6d5959d0e3b246ace8e5dda4e1c58e42a69e19a55b3a8,"Render deletion-centered contact and WFYL-zero summaries from frozen analyzed tables with the documented five-residue display mean; released copy corrects panel naming and adds a public header, CLI, checks and portable paths."
